Chinese,English,Audio 1,Audio 2,Raw Text
睡觉以前喝点酒，一定不会睡好。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E7%9D%A1%E8%A7%89%E4%BB%A5%E5%89%8D%E5%96%9D%E7%82%B9%E9%85%92%EF%BC%8C%E4%B8%80%E5%AE%9A%E4%B8%8D%E4%BC%9A%E7%9D%A1%E5%A5%BD-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E7%9D%A1%E8%A7%89%E4%BB%A5%E5%89%8D%E5%96%9D%E7%82%B9%E9%85%92%EF%BC%8C%E4%B8%80%E5%AE%9A%E4%B8%8D%E4%BC%9A%E7%9D%A1%E5%A5%BD-%E7%94%B7.mp3,"睡觉以前喝点酒，一定不会睡好。
Review Flashcards
喝 hē - to drink
Characters: 酒"
这个酒店能住多少人？,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E8%BF%99%E4%B8%AA%E9%85%92%E5%BA%97%E8%83%BD%E4%BD%8F%E5%A4%9A%E5%B0%91%E4%BA%BA-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E8%BF%99%E4%B8%AA%E9%85%92%E5%BA%97%E8%83%BD%E4%BD%8F%E5%A4%9A%E5%B0%91%E4%BA%BA-%E7%94%B7.mp3,"这个酒店能住多少人？
Review Flashcards
Characters: https://traverse.link/Mandarin_Blueprint/店 酒"
你喜欢喝白酒还是红酒。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E4%BD%A0%E5%96%9C%E6%AC%A2%E5%96%9D%E7%99%BD%E9%85%92%E8%BF%98%E6%98%AF%E7%BA%A2%E9%85%92-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E4%BD%A0%E5%96%9C%E6%AC%A2%E5%96%9D%E7%99%BD%E9%85%92%E8%BF%98%E6%98%AF%E7%BA%A2%E9%85%92-%E7%94%B7.mp3,"你喜欢喝白酒还是红酒。
Review Flashcards
Characters: https://traverse.link/Mandarin_Blueprint/白 酒 https://traverse.link/Mandarin_Blueprint/红"
红酒是红葡萄做成的。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E7%BA%A2%E9%85%92%E6%98%AF%E7%BA%A2%E8%91%A1%E8%90%84%E5%81%9A%E6%88%90%E7%9A%84-%E7%94%B7.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E7%BA%A2%E9%85%92%E6%98%AF%E7%BA%A2%E8%91%A1%E8%90%84%E5%81%9A%E6%88%90%E7%9A%84-%E5%A5%B3.mp3,"红酒是红葡萄做成的。
Review Flashcards
用法 1 - red wine
Characters: 酒 https://traverse.link/Mandarin_Blueprint/红"
你的衣服和包不配，换一件吧！,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E4%BD%A0%E7%9A%84%E8%A1%A3%E6%9C%8D%E5%92%8C%E5%8C%85%E4%B8%8D%E9%85%8D%EF%BC%8C%E6%8D%A2%E4%B8%80%E4%BB%B6%E5%90%A7-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E4%BD%A0%E7%9A%84%E8%A1%A3%E6%9C%8D%E5%92%8C%E5%8C%85%E4%B8%8D%E9%85%8D%EF%BC%8C%E6%8D%A2%E4%B8%80%E4%BB%B6%E5%90%A7-%E7%94%B7.mp3,"你的衣服和包不配，换一件吧！
Review Flashcards
换 huàn - to change (clothes)
Characters: 配"
我有点看不清，要再配眼镜了。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E6%88%91%E6%9C%89%E7%82%B9%E7%9C%8B%E4%B8%8D%E6%B8%85%EF%BC%8C%E8%A6%81%E5%86%8D%E9%85%8D%E7%9C%BC%E9%95%9C%E4%BA%86-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E6%88%91%E6%9C%89%E7%82%B9%E7%9C%8B%E4%B8%8D%E6%B8%85%EF%BC%8C%E8%A6%81%E5%86%8D%E9%85%8D%E7%9C%BC%E9%95%9C%E4%BA%86-%E7%94%B7.mp3,"我有点看不清，要再配眼镜了。
Review Flashcards
眼镜 yǎnjìng - glasses
Characters: 配"
她常常打自己的孩子，真不配当一个妈妈！,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E5%A5%B9%E5%B8%B8%E5%B8%B8%E6%89%93%E8%87%AA%E5%B7%B1%E7%9A%84%E5%AD%A9%E5%AD%90%EF%BC%8C%E7%9C%9F%E4%B8%8D%E9%85%8D%E5%BD%93%E4%B8%80%E4%B8%AA%E5%A6%88%E5%A6%88-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E5%A5%B9%E5%B8%B8%E5%B8%B8%E6%89%93%E8%87%AA%E5%B7%B1%E7%9A%84%E5%AD%A9%E5%AD%90%EF%BC%8C%E7%9C%9F%E4%B8%8D%E9%85%8D%E5%BD%93%E4%B8%80%E4%B8%AA%E5%A6%88%E5%A6%88-%E7%94%B7.mp3,"她常常打自己的孩子，真不配当一个妈妈！
Review Flashcards
Characters: 配"
父母要配合老师让孩子好好学习。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E7%88%B6%E6%AF%8D%E8%A6%81%E9%85%8D%E5%90%88%E8%80%81%E5%B8%88%E8%AE%A9%E5%AD%A9%E5%AD%90%E5%A5%BD%E5%A5%BD%E5%AD%A6%E4%B9%A0-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E7%88%B6%E6%AF%8D%E8%A6%81%E9%85%8D%E5%90%88%E8%80%81%E5%B8%88%E8%AE%A9%E5%AD%A9%E5%AD%90%E5%A5%BD%E5%A5%BD%E5%AD%A6%E4%B9%A0-%E7%94%B7.mp3,"父母要配合老师让孩子好好学习。
Review Flashcards
Characters: https://traverse.link/Mandarin_Blueprint/合"
你们今天就要分配好明天的工作。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E4%BD%A0%E4%BB%AC%E4%BB%8A%E5%A4%A9%E5%B0%B1%E8%A6%81%E5%88%86%E9%85%8D%E5%A5%BD%E6%98%8E%E5%A4%A9%E7%9A%84%E5%B7%A5%E4%BD%9C-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E4%BD%A0%E4%BB%AC%E4%BB%8A%E5%A4%A9%E5%B0%B1%E8%A6%81%E5%88%86%E9%85%8D%E5%A5%BD%E6%98%8E%E5%A4%A9%E7%9A%84%E5%B7%A5%E4%BD%9C-%E7%94%B7.mp3,"你们今天就要分配好明天的工作。
Review Flashcards
Characters: https://traverse.link/Mandarin_Blueprint/分 配"
公司给我配备了一台新电脑。,No English available,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E5%85%AC%E5%8F%B8%E7%BB%99%E6%88%91%E9%85%8D%E5%A4%87%E4%BA%86%E4%B8%80%E5%8F%B0%E6%96%B0%E7%94%B5%E8%84%91-%E5%A5%B3.mp3,https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL38-%E5%85%AC%E5%8F%B8%E7%BB%99%E6%88%91%E9%85%8D%E5%A4%87%E4%BA%86%E4%B8%80%E5%8F%B0%E6%96%B0%E7%94%B5%E8%84%91-%E7%94%B7.mp3,"公司给我配备了一台新电脑。
Review Flashcards
电脑 diànnǎo - computer
Characters: https://traverse.link/Mandarin_Blueprint/备"
