"Chinese","English","Audio 1","Audio 2","Raw Text"
"她讨厌带孩子。","She hates taking care of children.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E5%A5%B9%E8%AE%A8%E5%8E%8C%E5%B8%A6%E5%AD%A9%E5%AD%90-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E5%A5%B9%E8%AE%A8%E5%8E%8C%E5%B8%A6%E5%AD%A9%E5%AD%90-%E5%A5%B3.mp3","她讨厌带孩子。
She hates taking care of children.

1. to take, bring, carry, lead

‎

‎

    


Characters: 带
"
"同事让他带一点热水。","A colleague asked him to bring some hot water.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E5%90%8C%E4%BA%8B%E8%AE%A9%E4%BB%96%E5%B8%A6%E4%B8%80%E7%82%B9%E7%83%AD%E6%B0%B4-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E5%90%8C%E4%BA%8B%E8%AE%A9%E4%BB%96%E5%B8%A6%E4%B8%80%E7%82%B9%E7%83%AD%E6%B0%B4-%E5%A5%B3.mp3","同事让他带一点热水。
A colleague asked him to bring some hot water.

1. to take, bring, carry, lead

‎

‎

    


Characters: 带
"
"然后三兄弟带着种子回去了。","Then the three brothers took the seeds back.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E7%84%B6%E5%90%8E%E4%B8%89%E5%85%84%E5%BC%9F%E5%B8%A6%E7%9D%80%E7%A7%8D%E5%AD%90%E5%9B%9E%E5%8E%BB%E4%BA%86-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E7%84%B6%E5%90%8E%E4%B8%89%E5%85%84%E5%BC%9F%E5%B8%A6%E7%9D%80%E7%A7%8D%E5%AD%90%E5%9B%9E%E5%8E%BB%E4%BA%86-%E5%A5%B3.mp3","然后三兄弟带着种子回去了。
Then the three brothers took the seeds back.

1. to take, bring, carry, lead

‎

兄弟 xiōngdì - brothers  种子 zhǒngzi - seed

‎

    


Characters: 带
"
"那个女士带来了菜单。","That lady brought the menu.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E9%82%A3%E4%B8%AA%E5%A5%B3%E5%A3%AB%E5%B8%A6%E6%9D%A5%E4%BA%86%E8%8F%9C%E5%8D%95-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E9%82%A3%E4%B8%AA%E5%A5%B3%E5%A3%AB%E5%B8%A6%E6%9D%A5%E4%BA%86%E8%8F%9C%E5%8D%95-%E5%A5%B3.mp3","那个女士带来了菜单。
That lady brought the menu.

1. to bring along, to take along

‎

‎

    


Characters: 带


来
"
"一个月到了，三个儿子来到爸爸床前，他们每个人都带来了自己的花盆。","A month later, the three sons came to their father’s bedside, each bringing his own flowerpot.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E4%B8%80%E4%B8%AA%E6%9C%88%E5%88%B0%E4%BA%86%EF%BC%8C%E4%B8%89%E4%B8%AA%E5%84%BF%E5%AD%90%E6%9D%A5%E5%88%B0%E7%88%B8%E7%88%B8%E5%BA%8A%E5%89%8D-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E4%B8%80%E4%B8%AA%E6%9C%88%E5%88%B0%E4%BA%86%EF%BC%8C%E4%B8%89%E4%B8%AA%E5%84%BF%E5%AD%90%E6%9D%A5%E5%88%B0%E7%88%B8%E7%88%B8%E5%BA%8A%E5%89%8D-%E5%A5%B3.mp3","一个月到了，三个儿子来到爸爸床前，他们每个人都带来了自己的花盆。
A month later, the three sons came to their father’s bedside, each bringing his own flowerpot.

1. to bring along, to take along

‎

爸爸 bàba - dad  花盆 huāpén - flowerpot

‎

    


Characters: 带


来
"
"风把云带走了。","The wind carried the clouds away.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E9%A3%8E%E6%8A%8A%E4%BA%91%E5%B8%A6%E8%B5%B0%E4%BA%86-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E9%A3%8E%E6%8A%8A%E4%BA%91%E5%B8%A6%E8%B5%B0%E4%BA%86-%E5%A5%B3.mp3","风把云带走了。
The wind carried the clouds away.

1. to take away, to take with

‎

把 bǎ - (preposition used to shift the object to before the verb, which must be accompanied by some other word or expression, often a verb complement)

‎

    


Characters: 带


走
"
"我可以帮他。","I can help him.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E6%88%91%E5%8F%AF%E4%BB%A5%E5%B8%AE%E4%BB%96-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E6%88%91%E5%8F%AF%E4%BB%A5%E5%B8%AE%E4%BB%96-%E5%A5%B3.mp3","我可以帮他。
I can help him.

1. to help

‎

‎

    


Characters: 帮
"
"猪大哥和猪二哥每天一起玩儿，路过猪小弟的时候，他们不但不帮他，还笑他自找麻烦。","Big Brother Pig and Second Brother Pig played together every day. When passing Little Brother Pig, they not only didn't help him but also laughed at him for seeking trouble for himself.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E7%8C%AA%E5%A4%A7%E5%93%A5%E5%92%8C%E7%8C%AA%E4%BA%8C%E5%93%A5%E6%AF%8F%E5%A4%A9%E4%B8%80%E8%B5%B7%E7%8E%A9%E5%84%BF%EF%BC%8C%E8%B7%AF%E8%BF%87%E7%8C%AA%E5%B0%8F%E5%BC%9F%E7%9A%84%E6%97%B6%E5%80%99-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E7%8C%AA%E5%A4%A7%E5%93%A5%E5%92%8C%E7%8C%AA%E4%BA%8C%E5%93%A5%E6%AF%8F%E5%A4%A9%E4%B8%80%E8%B5%B7%E7%8E%A9%E5%84%BF%EF%BC%8C%E8%B7%AF%E8%BF%87%E7%8C%AA%E5%B0%8F%E5%BC%9F%E7%9A%84%E6%97%B6%E5%80%99-%E5%A5%B3.mp3","猪大哥和猪二哥每天一起玩儿，路过猪小弟的时候，他们不但不帮他，还笑他自找麻烦。
Big Brother Pig and Second Brother Pig played together every day. When passing Little Brother Pig, they not only didn't help him but also laughed at him for seeking trouble for himself.

1. to help

‎

小弟 xiǎodì - little brother

时候 shíhòu - moment    不但 búdàn - not only    笑 xiào - to laugh    麻烦 máfan - annoying, an annoyance

‎

    


Characters: 帮
"
"他必须要从三个儿子中选一个出来，成为公司的老板，帮他管理公司。","He must choose one of his three sons to become the company’s boss and help him manage the company.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E4%BB%96%E5%BF%85%E9%A1%BB%E8%A6%81%E4%BB%8E%E4%B8%89%E4%B8%AA%E5%84%BF%E5%AD%90%E4%B8%AD%E9%80%89%E4%B8%80%E4%B8%AA%E5%87%BA%E6%9D%A5%EF%BC%8C%E6%88%90%E4%B8%BA%E5%85%AC%E5%8F%B8%E7%9A%84%E8%80%81%E6%9D%BF%EF%BC%8C%E5%B8%AE%E4%BB%96%E7%AE%A1%E7%90%86%E5%85%AC%E5%8F%B8-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E4%BB%96%E5%BF%85%E9%A1%BB%E8%A6%81%E4%BB%8E%E4%B8%89%E4%B8%AA%E5%84%BF%E5%AD%90%E4%B8%AD%E9%80%89%E4%B8%80%E4%B8%AA%E5%87%BA%E6%9D%A5%EF%BC%8C%E6%88%90%E4%B8%BA%E5%85%AC%E5%8F%B8%E7%9A%84%E8%80%81%E6%9D%BF%EF%BC%8C%E5%B8%AE%E4%BB%96%E7%AE%A1%E7%90%86%E5%85%AC%E5%8F%B8-%E5%A5%B3.mp3","他必须要从三个儿子中选一个出来，成为公司的老板，帮他管理公司。
He must choose one of his three sons to become the company’s boss and help him manage the company.

1. to help

‎

必须 bìxū - must    选 xuǎn - choose    老板 lǎobǎn - boss    管理 guǎnlǐ - manage

‎

    


Characters: 帮
"
"她常常去公园。","She often goes to the park.","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E5%A5%B9%E5%B8%B8%E5%B8%B8%E5%8E%BB%E5%85%AC%E5%9B%AD-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL32-%E5%A5%B9%E5%B8%B8%E5%B8%B8%E5%8E%BB%E5%85%AC%E5%9B%AD-%E5%A5%B3.mp3","她常常去公园。
She often goes to the park.

1. often, frequently

‎

‎

    


Characters: 常
"
