"Chinese","English","Audio 1","Audio 2","Raw Text"
"小时候，我常去海边玩。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%B0%8F%E6%97%B6%E5%80%99%EF%BC%8C%E6%88%91%E5%B8%B8%E5%8E%BB%E6%B5%B7%E8%BE%B9%E7%8E%A9-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%B0%8F%E6%97%B6%E5%80%99%EF%BC%8C%E6%88%91%E5%B8%B8%E5%8E%BB%E6%B5%B7%E8%BE%B9%E7%8E%A9-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
小时候，我常去海边玩。



sea

‎

‎

    


Characters: 海


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们想怎样做一个有用的人。
你觉得他是个怎样的人？
她的朋友是怎样的一些人？
这种时"
"这次旅行的目的地是上海。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E8%BF%99%E6%AC%A1%E6%97%85%E8%A1%8C%E7%9A%84%E7%9B%AE%E7%9A%84%E5%9C%B0%E6%98%AF%E4%B8%8A%E6%B5%B7-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E8%BF%99%E6%AC%A1%E6%97%85%E8%A1%8C%E7%9A%84%E7%9B%AE%E7%9A%84%E5%9C%B0%E6%98%AF%E4%B8%8A%E6%B5%B7-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
这次旅行的目的地是上海。



Shanghai

‎

旅行 lǚxíng - to travel, visit

‎

    


Characters: 海


上


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们"
"上海市在中国的东边，离海比较近。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%9C%A8%E4%B8%AD%E5%9B%BD%E7%9A%84%E4%B8%9C%E8%BE%B9%EF%BC%8C%E7%A6%BB%E6%B5%B7%E6%AF%94%E8%BE%83%E8%BF%91-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%9C%A8%E4%B8%AD%E5%9B%BD%E7%9A%84%E4%B8%9C%E8%BE%B9%EF%BC%8C%E7%A6%BB%E6%B5%B7%E6%AF%94%E8%BE%83%E8%BF%91-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
上海市在中国的东边，离海比较近。



Shanghai City

‎

离 lí - distance from

‎            

Characters: 市 海 上


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老"
"她不开心的时候就去看一看大海。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%A5%B9%E4%B8%8D%E5%BC%80%E5%BF%83%E7%9A%84%E6%97%B6%E5%80%99%E5%B0%B1%E5%8E%BB%E7%9C%8B%E4%B8%80%E7%9C%8B%E5%A4%A7%E6%B5%B7-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%A5%B9%E4%B8%8D%E5%BC%80%E5%BF%83%E7%9A%84%E6%97%B6%E5%80%99%E5%B0%B1%E5%8E%BB%E7%9C%8B%E4%B8%80%E7%9C%8B%E5%A4%A7%E6%B5%B7-%E5%A5%B3.mp3","Level 37 - Intermediate
Switch to light / dark version
她不开心的时候就去看一看大海。



用法 1 - sea, ocean

‎

‎

    


Characters: 海


大


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们想怎样做一个有用的人。
你觉得他是个"
"在海边有一个房子是一件多么幸福的事情。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%9C%A8%E6%B5%B7%E8%BE%B9%E6%9C%89%E4%B8%80%E4%B8%AA%E6%88%BF%E5%AD%90%E6%98%AF%E4%B8%80%E4%BB%B6%E5%A4%9A%E4%B9%88%E5%B9%B8%E7%A6%8F%E7%9A%84%E4%BA%8B%E6%83%85-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%9C%A8%E6%B5%B7%E8%BE%B9%E6%9C%89%E4%B8%80%E4%B8%AA%E6%88%BF%E5%AD%90%E6%98%AF%E4%B8%80%E4%BB%B6%E5%A4%9A%E4%B9%88%E5%B9%B8%E7%A6%8F%E7%9A%84%E4%BA%8B%E6%83%85-%E5%A5%B3.mp3","Level 37 - Intermediate
Switch to light / dark version
在海边有一个房子是一件多么幸福的事情。



用法 1 - coast, seaside, seashore, beach

‎

幸福 xìngfú - happy

‎

    


Characters: 海


边


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什"
"国外的东西进到中国都会经过海关。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%9B%BD%E5%A4%96%E7%9A%84%E4%B8%9C%E8%A5%BF%E8%BF%9B%E5%88%B0%E4%B8%AD%E5%9B%BD%E9%83%BD%E4%BC%9A%E7%BB%8F%E8%BF%87%E6%B5%B7%E5%85%B3-%E7%94%B7.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%9B%BD%E5%A4%96%E7%9A%84%E4%B8%9C%E8%A5%BF%E8%BF%9B%E5%88%B0%E4%B8%AD%E5%9B%BD%E9%83%BD%E4%BC%9A%E7%BB%8F%E8%BF%87%E6%B5%B7%E5%85%B3-%E5%A5%B3.mp3","Level 37 - Intermediate
Switch to light / dark version
国外的东西进到中国都会经过海关。



用法 1 - customs (i.e. border crossing inspection) (MW: 个 gè)

‎

‎            

Characters: 海 关


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没"
"不要让你的小狗乱吃地上的东西，小心有毒。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E4%B8%8D%E8%A6%81%E8%AE%A9%E4%BD%A0%E7%9A%84%E5%B0%8F%E7%8B%97%E4%B9%B1%E5%90%83%E5%9C%B0%E4%B8%8A%E7%9A%84%E4%B8%9C%E8%A5%BF%EF%BC%8C%E5%B0%8F%E5%BF%83%E6%9C%89%E6%AF%92-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E4%B8%8D%E8%A6%81%E8%AE%A9%E4%BD%A0%E7%9A%84%E5%B0%8F%E7%8B%97%E4%B9%B1%E5%90%83%E5%9C%B0%E4%B8%8A%E7%9A%84%E4%B8%9C%E8%A5%BF%EF%BC%8C%E5%B0%8F%E5%BF%83%E6%9C%89%E6%AF%92-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
不要让你的小狗乱吃地上的东西，小心有毒。



poison

‎

‎            

Characters: 毒


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们想怎样做一个有用的人。
你觉得他是个怎样的人？"
"地上的东西把那只小猫毒死了。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%9C%B0%E4%B8%8A%E7%9A%84%E4%B8%9C%E8%A5%BF%E6%8A%8A%E9%82%A3%E5%8F%AA%E5%B0%8F%E7%8C%AB%E6%AF%92%E6%AD%BB%E4%BA%86-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E5%9C%B0%E4%B8%8A%E7%9A%84%E4%B8%9C%E8%A5%BF%E6%8A%8A%E9%82%A3%E5%8F%AA%E5%B0%8F%E7%8C%AB%E6%AF%92%E6%AD%BB%E4%BA%86-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
地上的东西把那只小猫毒死了。



kill with poison; poison

‎

‎            

Characters: 毒


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们想怎样做一个有用的人。"
"我的电脑有病毒，开不了机了。","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E6%88%91%E7%9A%84%E7%94%B5%E8%84%91%E6%9C%89%E7%97%85%E6%AF%92%EF%BC%8C%E5%BC%80%E4%B8%8D%E4%BA%86%E6%9C%BA%E4%BA%86-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E6%88%91%E7%9A%84%E7%94%B5%E8%84%91%E6%9C%89%E7%97%85%E6%AF%92%EF%BC%8C%E5%BC%80%E4%B8%8D%E4%BA%86%E6%9C%BA%E4%BA%86-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
我的电脑有病毒，开不了机了。



virus

‎

电脑 diānnǎo - computer

‎            

Characters: 病 毒


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们想怎样做一"
"他可能不是生病，而是中毒了，快送医院吧！","No English available","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E4%BB%96%E5%8F%AF%E8%83%BD%E4%B8%8D%E6%98%AF%E7%94%9F%E7%97%85%EF%BC%8C%E8%80%8C%E6%98%AF%E4%B8%AD%E6%AF%92%E4%BA%86-%E5%A5%B3.mp3","https://storage.googleapis.com/alley-d0944.appspot.com/Mandarin_Blueprint/LEVEL37-%E4%BB%96%E5%8F%AF%E8%83%BD%E4%B8%8D%E6%98%AF%E7%94%9F%E7%97%85%EF%BC%8C%E8%80%8C%E6%98%AF%E4%B8%AD%E6%AF%92%E4%BA%86-%E7%94%B7.mp3","Level 37 - Intermediate
Switch to light / dark version
他可能不是生病，而是中毒了，快送医院吧！



poisoning

‎

‎            

Characters: 毒 中


Personal Notes
(optional)




Picture
(optional)




Add to reviews
Level 37 - Intermediate
Level 37 Vocab in Context #593 - 600
小时候，我常去海边玩。
这次旅行的目的地是上海。
上海市在中国的东边，离海比较近。
她不开心的时候就去看一看大海。
在海边有一个房子是一件多么幸福的事情。
国外的东西进到中国都会经过海关。
不要让你的小狗乱吃地上的东西，小心有毒。
地上的东西把那只小猫毒死了。
我的电脑有病毒，开不了机了。
他可能不是生病，而是中毒了，快送医院吧！
我觉得这个周末我们可以去吃羊肉，叫上你的哥们儿一起吧。
你觉不觉得羊肉特别香？
你知道怎么做好吃的包子吗？
学做包子不是件简单的事情。
她的皮包已经用了十年还没坏。
想要找到用真正的皮做的皮包不难。
长江是中国最长的河。
长江在中国的南边。
每年都有很多外国人来到长城。
我们班谁去过了长城？
海洋又大又宽。
飞过大西洋就到了美国。
这里的水果很新鲜。
你看到桌上的这些鲜花了吗？喜不喜欢？
妈妈做的鱼汤真鲜啊！
知识能帮我们更好地了解我们身边的人。
学习知识是改变生活的一种很好的办法。
你来的正好，我刚准备给你打电话呢。
今年正好是我们认识十年。
他的朋友正好是我的大学同学。
我先生回家的时候，我正好要出去买菜。
他不但在学习上帮我，在生活上也帮我。
他不但喜欢吃好吃的，还喜欢自己做好吃的。
我太难受了，我不得不回家休息。
孩子太小，她不得不在家工作。
不一会太阳就出来了。
你坐着等一下，他不一会就能回来。
我读中学那会儿还没有手机。
昨天那会儿他哥哥还没出事。
那时候我们不知道什么约会。
奶奶说，那时候一个村子的人总是一起吃饭和工作。
我还想睡觉呢，这时候你别来我家。
他没在家，你这时候去他家做什么。
我很明白他不是那样的人。
你看他那样就知道他没读什么书。
请告诉我怎样去电影院。
小时候老师一直让我们想怎样做一个有用的人。
你觉得他是个"
